"ID","yr","ewe_age_z","age_class","prim","mass_gain","repro_tp1","frs","wean_tp1","birthdate_tp1","mismatch_tp1","pred","first_pregnant","birthdate_z","median_bdate_z","greenup_date_z","mass_fall_tm1_z","mass_fall_z","mass_spring_z","greenup_mismatch_z","code_sr","wean_mass_z"
1,2000,1.637,"senescent","FALSE",14.885,"yes","neoDeath","no",160,2,"1","0",-0.604,1.341,2.11,0.43,0.333,0.42,-1.765,"5",1.796
1,2001,1.923,"senescent","FALSE",11.774,NA,NA,NA,NA,NA,"1","1",0.386,1.196,1.041,0.346,0.736,1.161,-0.352,"1",NA
2,2000,-0.078,"adult","FALSE",15.946,"yes","weaned","yes",197,39,"1","0",0.386,1.341,2.11,-1.403,-1.274,-1.177,-1.004,"5",NA
2,2001,0.208,"adult","FALSE",9.973,NA,NA,NA,NA,NA,"1","1",3.004,1.196,1.041,-1.234,-1.32,-0.503,1.659,"3",NA
4,2000,-0.078,"adult","FALSE",15.868,NA,"human",NA,NA,NA,"1","0",NA,1.341,2.11,-0.098,0.425,0.386,NA,"8",NA
4,2001,0.208,"adult","FALSE",12.614,NA,"human",NA,NA,NA,"1","0",NA,1.196,1.041,0.437,0.304,0.666,NA,"8",NA
4,2002,0.494,"adult","FALSE",14.844,NA,"human",NA,NA,NA,"1","0",NA,0.034,1.041,0.318,0.126,0.235,NA,"8",NA
4,2003,0.78,"adult","FALSE",13.904,NA,"human",NA,NA,NA,"0","0",NA,1.341,0.507,0.142,0.263,0.474,NA,"8",NA
4,2004,1.066,"adult","FALSE",13.535,NA,"human",NA,NA,NA,"0","0",NA,1.051,-0.028,0.277,0.69,0.908,NA,"8",NA
4,2005,1.351,"adult","FALSE",14.063,NA,NA,NA,NA,NA,"0","0",NA,-0.474,-0.384,0.697,0.787,0.934,NA,"8",NA
9,2000,1.637,"senescent","FALSE",14.392,"no","noLamb",NA,NA,NA,"1","0",NA,1.341,2.11,0.112,0.34,0.485,NA,"1",NA
10,2000,1.637,"senescent","FALSE",21.413,"yes","notWeaned","no",150,-8,"1","0",-0.038,1.341,2.11,-0.168,0.319,-0.376,-1.33,"3",0.608
10,2001,1.923,"senescent","FALSE",13.581,"yes","weaned","yes",146,-12,"1","0",-0.321,1.196,1.041,0.332,0.166,0.423,-0.896,"2",NA
10,2002,2.209,"senescent","FALSE",17.505,NA,NA,NA,NA,NA,"1","0",-0.604,0.034,1.041,0.182,-0.27,-0.446,-1.113,"3",0.126
11,2000,1.351,"adult","FALSE",17.077,NA,NA,NA,NA,NA,"1","0",-0.321,1.341,2.11,0.704,0.73,0.52,-1.548,"2",NA
12,2000,0.78,"adult","FALSE",18.019,"yes","notWeaned","no",NA,NA,"1","1",NA,1.341,2.11,0.669,0.493,0.19,NA,"1",NA
12,2001,1.066,"adult","FALSE",10.471,NA,NA,NA,NA,NA,"1","1",0.457,1.196,1.041,0.503,0.073,0.711,-0.298,"2",0.896
13,2000,1.923,"senescent","FALSE",10.279,"yes","neoDeath","no",NA,NA,"1","1",1.447,1.341,2.11,-1.151,-0.488,0.221,-0.189,"5",NA
13,2001,2.209,"senescent","FALSE",12.625,NA,NA,NA,NA,NA,"1","0",NA,1.196,1.041,-0.462,-0.919,-0.455,NA,"1",NA
14,2000,1.637,"senescent","FALSE",19.636,"yes","weaned","yes",167,9,"1","0",-0.038,1.341,2.11,-0.27,0.144,-0.323,-1.33,"5",-0.285
14,2001,1.923,"senescent","FALSE",9.436,NA,NA,NA,NA,NA,"1","1",0.881,1.196,1.041,0.16,-0.255,0.535,0.028,"3",-0.072
15,2000,0.78,"adult","FALSE",20.601,NA,NA,NA,NA,NA,"1","0",NA,1.341,2.11,-0.23,-0.397,-0.933,NA,"1",NA
17,2000,1.637,"senescent","FALSE",19.913,NA,NA,NA,NA,NA,"1","0",-0.038,1.341,2.11,-0.101,0.187,-0.317,-1.33,"2",NA
18,2000,0.78,"adult","FALSE",17.116,"yes","weaned","yes",NA,NA,"1","0",NA,1.341,2.11,0.525,-0.665,-0.761,NA,"1",NA
18,2001,1.066,"adult","FALSE",7.962,NA,NA,NA,NA,NA,"1","1",0.528,1.196,1.041,-0.636,-0.692,0.312,-0.243,"3",0.536
19,2000,1.637,"senescent","FALSE",14.812,"yes","weaned","yes",NA,NA,"1","0",NA,1.341,2.11,-1.012,-0.314,-0.164,NA,"1",NA
19,2001,1.923,"senescent","FALSE",11.134,NA,NA,NA,NA,NA,"1","0",0.528,1.196,1.041,-0.291,-0.397,0.202,-0.243,"5",-0.261
21,2000,1.351,"adult","FALSE",13.556,"yes","notWeaned","no",190,32,"1","1",1.377,1.341,2.11,0.189,0.78,0.988,-0.243,"3",-1.858
21,2001,1.637,"senescent","FALSE",7,NA,NA,NA,NA,NA,"1","1",2.509,1.196,1.041,0.786,0.668,1.671,1.278,"2",NA
22,2000,0.78,"adult","FALSE",17.223,"yes","weaned","yes",NA,NA,"1","0",NA,1.341,2.11,-0.691,0.138,-0.039,NA,"1",NA
